l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Jose Aldo,Jeremy Stephens,Jose Aldo,1,0,-1,3.875,-5.080002,-10,-2.539993,-8,Orthodox vs Orthodox,1,1.473684,5.080002,10,2.539993,8,Orthodox vs Orthodox,Featherweight
Jose Aldo,Pedro Munhoz,Jose Aldo,1,0,0,3.875,2.539993,0,12.7,11,Orthodox vs Orthodox,0,2.5,-2.539993,0,-12.7,-11,Orthodox vs Orthodox,Bantamweight
Jose Aldo,Petr Yan,Petr Yan,0,1,6,3.875,0,0,7.62001,18,Orthodox vs Switch,-6,3.2,0,0,-7.62001,-18,Switch vs Orthodox,Bantamweight
Jose Aldo,Max Holloway,Max Holloway,0,1,6,3.875,-10.16,-10,2.540009,7,Orthodox vs Orthodox,-6,3.571429,10.16,10,-2.540009,-7,Orthodox vs Orthodox,Featherweight
Jose Aldo,Max Holloway,Max Holloway,0,1,5,3.875,-10.16,-10,2.540009,7,Orthodox vs Orthodox,-5,3.571429,10.16,10,-2.540009,-7,Orthodox vs Orthodox,Featherweight
Jose Aldo,Chad Mendes,Jose Aldo,1,0,-1,3.875,2.539993,-10,10.16,16,Orthodox vs Orthodox,1,3.6,-2.539993,10,-10.16,-16,Orthodox vs Orthodox,Featherweight
Jose Aldo,Kenny Florian,Jose Aldo,1,0,-10,3.875,-7.62001,-10,-10.16,19,Orthodox vs Southpaw,10,2.333333,7.62001,10,10.16,-19,Southpaw vs Orthodox,Featherweight
Jose Aldo,Merab Dvalishvili,Merab Dvalishvili,0,1,4,3.875,2.539993,0,5.080002,19,Orthodox vs Orthodox,-4,4,-2.539993,0,-5.080002,-19,Orthodox vs Orthodox,Bantamweight
Jose Aldo,Rob Font,Jose Aldo,1,0,1,3.875,-2.540009,0,-2.539993,12,Orthodox vs Orthodox,-1,2.857143,2.540009,0,2.539993,-12,Orthodox vs Orthodox,Bantamweight
Jose Aldo,Frankie Edgar,Jose Aldo,1,0,-5,3.875,2.539993,0,5.080002,5,Orthodox vs Orthodox,5,2.090909,-2.539993,0,-5.080002,-5,Orthodox vs Orthodox,Featherweight
