l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win
Israel Adesanya,Marvin Vettori,Israel Adesanya,0,134,67,123,57,1,0,0,0,0,169,60,154,46,6,2,0,0,0,198,Decision,3,3,5:00,1,0
Israel Adesanya,Alex Pereira,Alex Pereira,0,209,119,162,86,4,1,0,0,0,214,140,157,91,1,1,0,0,394,31,KO/TKO,5,5,2:01,0,1
Israel Adesanya,Robert Whittaker,Israel Adesanya,1,188,98,169,79,0,0,0,0,0,151,74,136,59,10,4,0,0,0,220,Decision,5,5,5:00,1,0
Israel Adesanya,Derek Brunson,Israel Adesanya,3,25,15,23,13,0,0,0,0,0,23,9,14,3,7,0,0,0,10,95,KO/TKO,3,1,4:51,1,0
Israel Adesanya,Paulo Costa,Israel Adesanya,1,84,55,84,55,0,0,0,0,0,26,12,26,12,0,0,0,0,9,1,KO/TKO,5,2,3:59,1,0
Israel Adesanya,Alex Pereira,Israel Adesanya,1,96,41,96,41,0,0,0,0,0,85,49,85,49,0,0,0,0,3,0,KO/TKO,5,2,4:21,1,0
Israel Adesanya,Yoel Romero,Israel Adesanya,0,132,48,132,48,0,0,0,0,0,89,40,89,40,3,0,0,0,0,0,Decision,5,5,5:00,1,0
Israel Adesanya,Marvin Vettori,Israel Adesanya,0,208,122,181,96,0,0,0,2,0,211,91,176,58,14,4,0,0,36,415,Decision,5,5,5:00,1,0
Israel Adesanya,Jan Blachowicz,Jan Blachowicz,0,182,99,161,78,0,0,0,0,0,276,184,193,107,5,3,0,0,1,426,Decision,5,5,5:00,0,1
Issei Tamura,Zhang Tiequan,Issei Tamura,2,90,77,24,15,2,1,0,0,0,19,6,19,6,0,0,1,0,251,1,KO/TKO,3,2,0:32,1,0
Iuri Alcantara,Luke Sanders,Iuri Alcantara,0,79,27,75,23,2,1,1,0,0,182,134,134,94,2,1,0,0,6,218,Submission,3,2,3:13,1,0
Iuri Alcantara,Michihiro Omigawa,Iuri Alcantara,0,181,101,137,60,0,0,2,0,0,107,74,48,24,4,1,0,1,259,171,Decision,3,3,5:00,1,0
Iuri Alcantara,Russell Doane,Iuri Alcantara,0,88,59,52,27,4,2,0,0,0,139,98,41,14,12,6,0,1,130,518,Decision,3,3,5:00,1,0
Iuri Alcantara,Jimmie Rivera,Jimmie Rivera,0,108,43,106,41,0,0,0,0,0,124,64,102,45,6,3,0,0,1,132,Decision,3,3,5:00,0,1
Iuri Alcantara,Wilson Reis,Iuri Alcantara,1,128,84,76,42,3,2,0,1,0,110,66,61,23,7,3,0,1,222,406,Decision,3,3,5:00,1,0
Iuri Alcantara,Brad Pickett,Iuri Alcantara,1,39,26,39,26,0,0,2,0,0,3,1,3,1,0,0,0,0,29,11,Submission,3,1,1:59,1,0
Iuri Alcantara,Hacran Dias,Hacran Dias,0,71,36,50,19,1,0,1,0,0,144,108,44,19,10,5,0,0,67,541,Decision,3,3,5:00,0,1
Iuri Alcantara,Leandro Issa,Iuri Alcantara,0,114,65,101,53,0,0,0,0,0,70,37,55,26,10,1,0,0,131,326,Decision,3,3,5:00,1,0
Iuri Alcantara,Frankie Saenz,Frankie Saenz,0,77,49,59,31,4,2,0,0,0,184,122,95,44,4,3,0,1,62,420,Decision,3,3,5:00,0,1
Iuri Alcantara,Cory Sandhagen,Cory Sandhagen,0,29,13,24,9,1,1,2,0,0,159,104,113,66,0,0,0,0,73,251,KO/TKO,3,2,1:01,0,1
Iuri Alcantara,Urijah Faber,Urijah Faber,0,43,25,23,8,1,1,1,0,0,155,127,79,54,5,4,0,0,152,608,Decision,3,3,5:00,0,1
Iuri Alcantara,Brian Kelleher,Brian Kelleher,0,29,12,28,12,1,1,0,0,0,15,4,15,4,0,0,1,0,7,0,Submission,3,1,1:48,0,1
Iuri Alcantara,Alejandro Perez,Alejandro Perez,0,100,39,99,38,3,0,0,0,0,100,38,97,35,3,0,0,0,9,55,Decision,3,3,5:00,0,1
Iuri Alcantara,Iliarde Santos,Iuri Alcantara,0,41,23,37,19,0,0,0,0,0,11,4,10,3,2,0,0,0,5,25,KO/TKO,3,1,2:31,1,0
Iuri Alcantara,Felipe Arantes,Iuri Alcantara,0,123,75,52,22,6,6,0,0,0,77,54,47,29,0,0,0,1,434,135,Decision,3,3,5:00,1,0
Iuri Alcantara,Joe Soto,Iuri Alcantara,1,30,17,30,17,0,0,0,0,0,2,1,2,1,1,0,0,0,6,0,KO/TKO,3,1,1:06,1,0
Iuri Alcantara,Vaughan Lee,Iuri Alcantara,1,10,5,10,5,0,0,0,0,0,4,4,4,4,0,0,0,0,3,0,KO/TKO,3,1,0:25,1,0
Ivan Jorge,Josh Shockley,Ivan Jorge,0,81,41,64,25,10,3,1,0,0,87,34,72,22,2,0,0,0,367,82,Decision,3,3,5:00,1,0
Ivan Jorge,Keith Wisniewski,Ivan Jorge,0,116,87,94,69,10,2,0,0,0,103,66,78,42,1,0,0,0,425,39,Decision,3,3,5:00,1,0
