_id,Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
338,2015,0500000US51630,Fredericksburg city,Virginia,51,630,51762,5045
339,2015,0500000US51009,Amherst County,Virginia,51,9,47558,3068
340,2015,0500000US51017,Bath County,Virginia,51,17,43646,7122
341,2015,0500000US51670,Hopewell city,Virginia,51,670,39064,2675
342,2015,0500000US51700,Newport News city,Virginia,51,700,50077,1054
343,2015,0500000US51069,Frederick County,Virginia,51,69,69098,3616
344,2015,0500000US51680,Lynchburg city,Virginia,51,680,39589,1379
345,2015,0500000US51199,York County,Virginia,51,199,81749,3290
346,2015,0500000US51690,Martinsville city,Virginia,51,690,29587,3621
347,2015,0500000US51143,Pittsylvania County,Virginia,51,143,41824,1284
348,2015,0500000US51530,Buena Vista city,Virginia,51,530,29097,4461
349,2015,0500000US51610,Falls Church city,Virginia,51,610,120522,7243
350,2015,0500000US51730,Petersburg city,Virginia,51,730,31798,1732
351,2015,0500000US51735,Poquoson city,Virginia,51,735,83735,6283
352,2015,0500000US51600,Fairfax city,Virginia,51,600,105297,7530
353,2015,0500000US51820,Waynesboro city,Virginia,51,820,45643,2406
354,2015,0500000US51770,Roanoke city,Virginia,51,770,39930,1326
355,2015,0500000US51800,Suffolk city,Virginia,51,800,65499,1792
356,2015,0500000US51710,Norfolk city,Virginia,51,710,44480,1077
357,2015,0500000US51041,Chesterfield County,Virginia,51,41,72609,1175
358,2015,0500000US51059,Fairfax County,Virginia,51,59,112552,1041
359,2015,0500000US51125,Nelson County,Virginia,51,125,47118,6098
360,2015,0500000US51093,Isle of Wight County,Virginia,51,93,65741,3250
361,2015,0500000US51620,Franklin city,Virginia,51,620,32399,4457
362,2015,0500000US51678,Lexington city,Virginia,51,678,34017,5075
363,2015,0500000US51089,Henry County,Virginia,51,89,35293,1337
364,2015,0500000US51101,King William County,Virginia,51,101,62031,3513
365,2015,0500000US51109,Louisa County,Virginia,51,109,57829,3890
366,2015,0500000US51147,Prince Edward County,Virginia,51,147,41697,3991
367,2015,0500000US51165,Rockingham County,Virginia,51,165,53744,1500
368,2015,0500000US51181,Surry County,Virginia,51,181,53673,4311
369,2015,0500000US51043,Clarke County,Virginia,51,43,71295,4893
370,2015,0500000US51117,Mecklenburg County,Virginia,51,117,37356,2391
371,2015,0500000US51015,Augusta County,Virginia,51,15,54558,1909
372,2015,0500000US51075,Goochland County,Virginia,51,75,79330,5125
373,2015,0500000US51113,Madison County,Virginia,51,113,47736,4973
374,2015,0500000US51161,Roanoke County,Virginia,51,161,60519,2016
375,2015,0500000US51025,Brunswick County,Virginia,51,25,36919,2485
376,2015,0500000US51131,Northampton County,Virginia,51,131,35055,2997
377,2015,0500000US51163,Rockbridge County,Virginia,51,163,48901,3747
378,2015,0500000US51720,Norton city,Virginia,51,720,27731,9027
379,2015,0500000US51570,Colonial Heights city,Virginia,51,570,50304,3528
380,2015,0500000US51021,Bland County,Virginia,51,21,45294,3389
381,2015,0500000US51023,Botetourt County,Virginia,51,23,60454,2689
382,2015,0500000US51520,Bristol city,Virginia,51,520,35368,3636
383,2015,0500000US51830,Williamsburg city,Virginia,51,830,48639,4653
384,2015,0500000US51035,Carroll County,Virginia,51,35,35000,2955
385,2015,0500000US51191,Washington County,Virginia,51,191,43310,1910
386,2015,0500000US51139,Page County,Virginia,51,139,43895,2183
387,2015,0500000US51510,Alexandria city,Virginia,51,510,89134,2597
388,2015,0500000US51650,Hampton city,Virginia,51,650,49190,1493
389,2015,0500000US51013,Arlington County,Virginia,51,13,105763,2428
390,2015,0500000US51027,Buchanan County,Virginia,51,27,29679,1966
391,2015,0500000US51179,Stafford County,Virginia,51,179,97144,2422
392,2015,0500000US51760,Richmond city,Virginia,51,760,40758,778
393,2015,0500000US51057,Essex County,Virginia,51,57,42760,5157
394,2015,0500000US51185,Tazewell County,Virginia,51,185,37664,1874
395,2015,0500000US51685,Manassas Park city,Virginia,51,685,73528,5329
396,2015,0500000US51183,Sussex County,Virginia,51,183,39194,4305
397,2015,0500000US51683,Manassas city,Virginia,51,683,72890,2825
398,2015,0500000US51775,Salem city,Virginia,51,775,50068,3333
399,2015,0500000US51037,Charlotte County,Virginia,51,37,35079,5329
400,2015,0500000US51081,Greensville County,Virginia,51,81,38012,3342
401,2016,0500000US51810,Virginia Beach city,Virginia,51,810,67719,1013
402,2016,0500000US51005,Alleghany County,Virginia,51,5,45538,3210
403,2016,0500000US51640,Galax city,Virginia,51,640,31110,3859
404,2016,0500000US51193,Westmoreland County,Virginia,51,193,51566,3199
405,2016,0500000US51133,Northumberland County,Virginia,51,133,54440,4806
