l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Ryan LaFlare,Anthony Rocco Martin,Anthony Rocco Martin,2018-10-06,0,1,7,-7,4.666667,2.833333,2.539993,-2.539993,0,0,2.540009,-2.540009,21,215,17,23,-6,6,1.83333325386047,-1.83333325386047,0,1,1,0,-1,1,1,-1,441,168,273,-273
Jake Matthews,Anthony Rocco Martin,Anthony Rocco Martin,2018-12-01,0,1,-4,4,3.166667,2.833333,-2.540009,2.540009,0,0,0,0,38,70,25,23,2,-2,0.333333492279053,-0.333333492279053,1,2,0,0,-1,1,0,0,378,56,322,-322
Sergio Moraes,Anthony Rocco Martin,Anthony Rocco Martin,2019-03-09,0,1,7,-7,2.333333,2.833333,0,0,0,0,-2.539993,2.539993,87,132,20,23,-3,3,-0.5,0.5,1,3,1,0,-2,2,1,-1,168,98,70,-70
Demian Maia,Anthony Rocco Martin,Demian Maia,2019-06-29,1,0,12,-12,2.545455,2.833333,2.539993,-2.539993,0,0,-2.539993,2.539993,363,71,39,23,16,-16,-0.287878751754761,0.287878751754761,0,4,1,0,-4,4,1,-1,406,112,294,-294
Ramazan Emeev,Anthony Rocco Martin,Anthony Rocco Martin,2019-11-09,0,1,3,-3,3.333333,2.833333,-5.080002,5.080002,0,0,7.619995,-7.619995,164,11,26,23,3,-3,0.5,-0.5,2,0,0,0,2,-2,0,0,420,133,287,-287
Neil Magny,Anthony Rocco Martin,Neil Magny,2020-06-06,1,0,2,-2,2.333333,2.833333,7.619995,-7.619995,0,0,17.78,-17.78,139,297,40,23,17,-17,-0.5,0.5,0,1,1,0,-1,1,1,-1,567,210,357,-357
Antonio Braga Neto,Anthony Smith,Antonio Braga Neto,2013-06-08,1,0,1,-1,3,2.055556,-2.539993,2.539993,-20,20,2.540009,-2.540009,27,4,12,55,-43,43,0.944444417953491,-0.944444417953491,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo Guimaraes,Anthony Smith,Anthony Smith,2016-02-21,0,1,6,-6,2.2,2.055556,-10.15999,10.15999,-20,20,-7.039993,7.039993,215,237,16,55,-39,39,0.144444465637207,-0.144444465637207,0,0,0,0,0,0,0,0,0,988,-988,988
Cezar Ferreira,Anthony Smith,Cezar Ferreira,2016-07-08,1,0,4,-4,1.625,2.055556,-7.619995,7.619995,-20,20,5.080002,-5.080002,520,3,21,55,-34,34,-0.430555582046509,0.430555582046509,0,1,1,0,-1,1,1,-1,362,138,224,-224
Elvis Mutapcic,Anthony Smith,Anthony Smith,2016-12-03,0,1,2,-2,2.5,2.055556,-10.15999,10.15999,-20,20,-10.15999,10.15999,258,3,21,55,-34,34,0.444444417953491,-0.444444417953491,0,0,0,0,0,0,0,0,0,148,-148,148
Andrew Sanchez,Anthony Smith,Anthony Smith,2017-04-15,0,1,1,-1,1.857143,2.055556,-7.619995,7.619995,-20,20,-5.079987,5.079987,274,67,20,55,-35,35,-0.198412775993347,0.198412775993347,1,1,0,0,0,0,0,0,127,133,-6,6
Hector Lombard,Anthony Smith,Anthony Smith,2017-09-16,0,1,10,-10,3.4,2.055556,-17.78,17.78,-20,20,-12.7,12.7,96,3,44,55,-11,11,1.34444451332092,-1.34444451332092,0,2,1,0,-2,2,1,-1,546,154,392,-392
Thiago Santos,Anthony Smith,Thiago Santos,2018-02-03,1,0,5,-5,2,2.055556,-5.079987,5.079987,0,0,0,0,199,50,33,55,-22,22,-5.55555820465088e-02,5.55555820465088e-02,0,3,0,0,-3,3,0,0,497,140,357,-357
Rashad Evans,Anthony Smith,Anthony Smith,2018-06-09,0,1,9,-9,2.375,2.055556,-10.15999,10.15999,0,0,-2.539993,2.539993,15,4,27,55,-28,28,0.319444417953491,-0.319444417953491,0,0,2,1,0,0,1,-1,462,126,336,-336
Mauricio Rua,Anthony Smith,Anthony Smith,2018-07-22,0,1,7,-7,1.928571,2.055556,-7.619995,7.619995,0,0,0,0,0,1,41,55,-14,14,-0.126984119415283,0.126984119415283,1,1,1,1,0,0,0,0,498,43,455,-455
Volkan Oezdemir,Anthony Smith,Anthony Smith,2018-10-27,0,1,-1,1,2.714286,2.055556,-5.079987,5.079987,0,0,-2.539993,2.539993,296,89,26,55,-29,29,0.658730030059814,-0.658730030059814,1,2,0,1,-1,1,-1,1,630,97,533,-533
