l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Li Jingliang,Nordine Taleb,Nordine Taleb,0,1,-7,2.375,-2.539993,0,-7.62001,5,Orthodox vs Orthodox,7,2.142857,2.539993,0,7.62001,-5,Orthodox vs Orthodox,Welterweight,0.232142925262451,-0.232142925262451
Li Jingliang,Santiago Ponzinibbio,Li Jingliang,1,0,-2,2.375,0,0,-5.080002,-10,Orthodox vs Orthodox,2,4.285714,0,0,5.080002,10,Orthodox vs Orthodox,Welterweight,-1.9107141494751,1.9107141494751
Li Jingliang,Keita Nakamura,Keita Nakamura,0,1,-4,2.375,2.540009,0,-5.080002,-17,Orthodox vs Southpaw,4,3.4,-2.540009,0,5.080002,17,Southpaw vs Orthodox,Welterweight,-1.02500009536743,1.02500009536743
Liana Jojua,Miranda Maverick,Miranda Maverick,0,1,2,1.6,2.539993,0,-7.62001,-6,Orthodox vs Southpaw,-2,2.8,-2.539993,0,7.62001,6,Southpaw vs Orthodox,"Women's Flyweight",-1.19999992847443,1.19999992847443
Liana Jojua,Sarah Moras,Sarah Moras,0,1,-7,1.6,-7.619995,-10,-12.7,-1,Orthodox vs Orthodox,7,0.75,7.619995,10,12.7,1,Orthodox vs Orthodox,"Women's Bantamweight",0.850000023841858,-0.850000023841858
Lina Lansberg,Sara McMann,Sara McMann,0,1,-2,1.25,2.539993,0,-2.539993,-1,Orthodox vs Orthodox,2,2.166667,-2.539993,0,2.539993,1,Orthodox vs Orthodox,"Women's Bantamweight",-0.916666746139526,0.916666746139526
Lina Lansberg,Yana Santos,Yana Santos,0,1,8,1.25,2.539993,0,-7.619995,-4,Orthodox vs Orthodox,-8,1.75,-2.539993,0,7.619995,4,Orthodox vs Orthodox,"Women's Bantamweight",-0.5,0.5
Lina Lansberg,Karol Rosa,Karol Rosa,0,1,13,1.25,5.079987,-10,-5.079987,-4,Orthodox vs Orthodox,-13,3.4,-5.079987,10,5.079987,4,Orthodox vs Orthodox,"Women's Bantamweight",-2.15000009536743,2.15000009536743
Lina Lansberg,Lucie Pudilova,Lina Lansberg,1,0,13,1.25,-2.540009,0,-5.079987,-4,Orthodox vs Orthodox,-13,1.75,2.540009,0,5.079987,4,Orthodox vs Orthodox,"Women's Bantamweight",-0.5,0.5
Lina Lansberg,Gina Mazany,Lina Lansberg,1,0,7,1.25,2.539993,10,-7.619995,5,Orthodox vs Southpaw,-7,1.166667,-2.539993,-10,7.619995,-5,Southpaw vs Orthodox,"Women's Bantamweight",8.33333730697632e-02,-8.33333730697632e-02
