l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win,l_win_difference,r_win_difference
Maki Pitolo,Darren Stewart,Darren Stewart,0,33,14,31,12,1,1,0,0,0,39,14,38,13,1,0,1,0,17,19,Submission,3,1,3:41,0,1,-5.55555820465088e-02,5.55555820465088e-02
Maki Pitolo,Dusko Todorovic,Dusko Todorovic,0,29,13,29,13,0,0,1,0,0,91,67,53,30,1,1,0,0,0,166,KO/TKO,3,1,4:34,0,1,-1.55555558204651,1.55555558204651
Makwan Amirkhani,Masio Fullen,Makwan Amirkhani,0,0,0,0,0,1,1,2,0,0,1,1,1,1,0,0,0,0,79,0,Submission,3,1,1:41,1,0,0.317460298538208,-0.317460298538208
Makwan Amirkhani,Kamuela Kirk,Kamuela Kirk,0,56,25,49,20,9,5,0,0,0,143,100,63,28,0,0,3,0,410,94,Decision,3,3,5:00,0,1,-0.111111164093018,0.111111164093018
Makwan Amirkhani,Edson Barboza,Edson Barboza,0,59,25,39,11,6,3,0,0,2,77,34,74,32,0,0,1,0,193,98,Decision,3,3,5:00,0,1,-0.202020168304443,0.202020168304443
Makwan Amirkhani,Danny Henry,Makwan Amirkhani,0,6,2,6,2,1,1,1,0,0,16,6,16,6,0,0,0,0,47,0,Submission,3,1,3:15,1,0,-1.11111116409302,1.11111116409302
Makwan Amirkhani,Jonathan Pearce,Jonathan Pearce,0,23,12,22,11,7,3,0,0,0,178,144,112,90,5,4,0,0,85,286,KO/TKO,3,2,4:10,0,1,-1.61111116409302,1.61111116409302
Makwan Amirkhani,Andy Ogle,Makwan Amirkhani,1,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,KO/TKO,3,1,0:08,1,0,0.388888835906982,-0.388888835906982
Makwan Amirkhani,Chris Fishgold,Makwan Amirkhani,0,36,18,27,9,2,1,1,0,0,52,16,52,16,0,0,0,0,179,0,Submission,3,2,4:25,1,0,-2.61111116409302,2.61111116409302
Makwan Amirkhani,Lerone Murphy,Lerone Murphy,0,16,12,6,4,7,5,0,0,1,8,7,5,4,0,0,0,0,245,9,KO/TKO,3,2,0:14,0,1,-11.111111164093,11.111111164093
Makwan Amirkhani,Shane Burgos,Shane Burgos,0,49,23,48,22,19,3,1,0,1,217,161,155,105,0,0,0,0,259,211,KO/TKO,3,3,4:32,0,1,-3.11111116409302,3.11111116409302
Makwan Amirkhani,Jack Shore,Jack Shore,0,28,14,24,10,3,1,0,0,0,64,45,46,28,1,1,1,0,211,135,Submission,3,2,4:27,0,1,-15.111111164093,15.111111164093
Makwan Amirkhani,Mike Grundy,Makwan Amirkhani,0,1,0,1,0,0,0,1,0,0,3,0,3,0,1,1,0,0,15,31,Submission,3,1,0:57,1,0,-1.11111116409302,1.11111116409302
